project_no,project_name,site_key,lat,lon,month,capture_date,aoi_cloud_pct,status,file
01,TT hoi nghi APEC,apec_center,10.0464,103.9996,2025-01,2025-01-27,0.0,OK,01_apec_center/2025-01_2025-01-27_cloud0pct_OK.png
01,TT hoi nghi APEC,apec_center,10.0464,103.9996,2025-02,2025-02-08,0.0,OK,01_apec_center/2025-02_2025-02-08_cloud0pct_OK.png
01,TT hoi nghi APEC,apec_center,10.0464,103.9996,2025-03,2025-03-10,0.0,OK,01_apec_center/2025-03_2025-03-10_cloud0pct_OK.png
01,TT hoi nghi APEC,apec_center,10.0464,103.9996,2025-04,2025-04-04,0.1,OK,01_apec_center/2025-04_2025-04-04_cloud0pct_OK.png
01,TT hoi nghi APEC,apec_center,10.0464,103.9996,2025-05,2025-05-07,6.6,OK,01_apec_center/2025-05_2025-05-07_cloud7pct_OK.png
01,TT hoi nghi APEC,apec_center,10.0464,103.9996,2025-06,2025-06-01,0.0,OK,01_apec_center/2025-06_2025-06-01_cloud0pct_OK.png
01,TT hoi nghi APEC,apec_center,10.0464,103.9996,2025-07,2025-07-13,3.1,OK,01_apec_center/2025-07_2025-07-13_cloud3pct_OK.png
01,TT hoi nghi APEC,apec_center,10.0464,103.9996,2025-08,2025-08-05,0.0,OK,01_apec_center/2025-08_2025-08-05_cloud0pct_OK.png
01,TT hoi nghi APEC,apec_center,10.0464,103.9996,2025-09,2025-09-21,48.1,CLOUDY,01_apec_center/2025-09_2025-09-21_cloud48pct_CLOUDY.png
01,TT hoi nghi APEC,apec_center,10.0464,103.9996,2025-10,2025-10-01,11.9,OK,01_apec_center/2025-10_2025-10-01_cloud12pct_OK.png
01,TT hoi nghi APEC,apec_center,10.0464,103.9996,2025-11,2025-11-30,4.1,OK,01_apec_center/2025-11_2025-11-30_cloud4pct_OK.png
01,TT hoi nghi APEC,apec_center,10.0464,103.9996,2025-12,2025-12-08,0.0,OK,01_apec_center/2025-12_2025-12-08_cloud0pct_OK.png
01,TT hoi nghi APEC,apec_center,10.0464,103.9996,2026-01,2026-01-07,0.1,OK,01_apec_center/2026-01_2026-01-07_cloud0pct_OK.png
